,original_language,original_title,overview,genre
584,es,Tod@s Caen,"['pair', 'seduc', 'tri', 'prove', 'best', 'techniqu', 'tri', 'not', 'fall', 'love']",['Comedy']
585,hi,बजरंगी भाईजान,"['young', 'mute', 'girl', 'pakistan', 'lose', 'india', 'way', 'head', 'back', 'devot', 'man', 'magnanim', 'spirit', 'undertak', 'task', 'get', 'back', 'motherland', 'unit', 'famili']","['Comedy', 'Drama', 'Action']"
586,it,I cento passi,"['peppino', 'impastato', 'quickwit', 'lad', 'grow', '1970', 'sicili', 'despit', 'hail', 'famili', 'mafia', 'tie', 'live', 'one', 'hundr', 'step', 'hous', 'local', 'boss', 'tano', 'badalamenti', 'peppino', 'decid', 'expos', 'mafia', 'use', 'pirat', 'radio', 'station', 'broadcast', 'polit', 'pronounc', 'form', 'iron', 'humour']","['Drama', 'History']"
587,en,War Room,"['familyfriendli', 'movi', 'explor', 'transform', 'role', 'prayer', 'play', 'live', 'jordan', 'famili', 'toni', 'elizabeth', 'jordan', 'middleclass', 'coupl', 'seemingli', '–', 'great', 'job', 'beauti', 'daughter', 'dream', 'home', 'appear', 'deceiv', 'realiti', 'jordan', '’s', 'marriag', 'becom', 'war', 'zone', 'daughter', 'collater', 'damag', 'help', 'miss', 'clara', 'older', 'wiser', 'woman', 'elizabeth', 'discov', 'start', 'fight', 'famili', 'instead', 'newli', 'energ', 'faith', 'elizabeth', 'toni', '’s', 'real', 'enemi', 'doe', 'n’t', 'prayer']",['Drama']
588,ko,악마를 보았다,"['kyungchul', 'danger', 'psychopath', 'kill', 'pleasur', 'soohyeon', 'topsecret', 'agent', 'decid', 'track', 'murder', 'promis', 'everyth', 'power', 'take', 'vengeanc', 'killer', 'even', 'mean', 'must', 'becom', 'monster']","['Thriller', 'Horror']"
589,en,Fantastic Mr. Fox,"['fantast', 'mr', 'fox', 'bore', 'current', 'life', 'plan', 'heist', 'three', 'local', 'farmer', 'farmer', 'tire', 'share', 'chicken', 'sli', 'fox', 'seek', 'reveng', 'famili']","['Adventure', 'Animation', 'Comedy', 'Family']"
590,en,Toy Story 3,"['woodi', 'buzz', 'rest', 'andi', 'toy', 'have', 'nt', 'play', 'year', 'andi', 'go', 'colleg', 'gang', 'find', 'accident', 'left', 'nefari', 'day', 'care', 'center', 'toy', 'must', 'band', 'togeth', 'escap', 'return', 'home', 'andi']","['Animation', 'Family', 'Comedy']"
591,en,Whiplash,"['feroci', 'bulli', 'music', 'teacher', 'teach', 'dedic', 'student']","['Drama', 'Music']"
592,it,Non essere cattivo,"['stori', 'set', '90', 'outskirt', 'rome', 'ostia', 'world', 'money', 'luxuri', 'car', 'night', 'club', 'cocain', 'synthet', 'drug', 'easi', 'run', 'world', 'vittorio', 'cesar', 'earli', 'twenti', 'act', 'search', 'success']","['Crime', 'Drama']"
593,en,Fail Safe,"['technic', 'defect', 'american', 'bomber', 'team', 'mistakenli', 'order', 'destruct', 'moscow', 'presid', 'unit', 'state', 'littl', 'time', 'prevent', 'atom', 'catastroph', 'occur']","['Thriller', 'Drama', 'War']"
594,en,Brokeback Mountain,"['rodeo', 'cowboy', 'jack', 'ranch', 'hand', 'enni', 'hire', 'sheepherd', '1963', 'wyom', 'one', 'night', 'brokeback', 'mountain', 'spark', 'physic', 'relationship', 'though', 'enni', 'marri', 'longtim', 'sweetheart', 'jack', 'marri', 'fellow', 'rodeo', 'rider', 'keep', 'tortur', 'sporad', 'love', 'affair', '20', 'year']","['Drama', 'Romance']"
595,en,The Normal Heart,"['stori', 'onset', 'hivaid', 'crisi', 'new', 'york', 'citi', 'earli', '1980', 'take', 'unflinch', 'look', 'nation', 'sexual', 'polit', 'gay', 'activist', 'alli', 'medic', 'commun', 'fight', 'expos', 'truth', 'burgeon', 'epidem', 'citi', 'nation', 'denial']",['Drama']
596,en,The Perks of Being a Wallflower,"['pittsburgh', 'pennsylvania', '1991', 'high', 'school', 'freshman', 'charli', 'wallflow', 'alway', 'watch', 'life', 'sidelin', 'two', 'senior', 'student', 'sam', 'stepbroth', 'patrick', 'becom', 'mentor', 'help', 'discov', 'joy', 'friendship', 'music', 'love']",['Drama']
597,ja,紅の豚,"['itali', '1930', 'sky', 'pirat', 'biplan', 'terror', 'wealthi', 'cruis', 'ship', 'sail', 'adriat', 'sea', 'pilot', 'brave', 'enough', 'stop', 'scourg', 'mysteri', 'porco', 'rosso', 'former', 'world', 'war', 'fli', 'ace', 'somehow', 'turn', 'pig', 'war', 'prepar', 'battl', 'pirat', 'crew', 'american', 'ace', 'porco', 'rosso', 'enlist', 'help', 'spunki', 'girl', 'mechan', 'fio', 'piccolo', 'longtim', 'friend', 'madam', 'gina']","['Family', 'Comedy', 'Animation', 'Adventure']"
598,fr,Le Samouraï,"['carri', 'flawlessli', 'plan', 'hit', 'jef', 'costello', 'contract', 'killer', 'samurai', 'instinct', 'find', 'caught', 'persist', 'polic', 'investig', 'ruthless', 'employ', 'not', 'even', 'armor', 'fedora', 'trench', 'coat', 'protect']","['Crime', 'Thriller']"
599,es,El robo del siglo,"['2006', 'group', 'thiev', 'perform', 'consid', 'one', 'famou', 'smart', 'bank', 'heist', 'histori', 'argentina', 'rob', 'rio', 'bank', 'surpris', 'happen', 'afterward', 'stori']","['Comedy', 'Thriller', 'Crime']"
600,en,Midnight Sun,"['kati', '17yearold', 'shelter', 'sinc', 'childhood', 'confin', 'hous', 'day', 'rare', 'diseas', 'make', 'even', 'smallest', 'amount', 'sunlight', 'deadli', 'fate', 'interven', 'meet', 'charli', 'embark', 'summer', 'romanc']","['Romance', 'Drama']"
601,en,L.A. Confidential,"['three', 'detect', 'corrupt', 'brutal', 'la', 'polic', 'forc', '1950', 'use', 'differ', 'method', 'uncov', 'conspiraci', 'behind', 'shotgun', 'slay', 'patron', 'allnight', 'diner']","['Crime', 'Mystery', 'Thriller']"
602,fr,Ernest et Célestine,"['celestin', 'littl', 'mous', 'tri', 'avoid', 'dental', 'career', 'ernest', 'big', 'bear', 'crave', 'artist', 'outlet', 'celestin', 'meet', 'ernest', 'overcom', 'natur', 'enmiti', 'forg', 'life', 'crime', 'togeth']","['Animation', 'Comedy', 'Drama', 'Family', 'Adventure']"
603,en,The Best Years of Our Lives,"['hope', 'sustain', 'spirit', 'everi', 'gi', 'dream', 'day', 'final', 'return', 'home', 'three', 'wwii', 'veteran', 'day', 'arriv', 'man', 'dream', 'becom', 'nightmar']","['Drama', 'Romance', 'War']"
604,en,The King of Comedy,"['aspir', 'comic', 'rupert', 'pupkin', 'attempt', 'achiev', 'success', 'show', 'busi', 'stalk', 'idol', 'late', 'night', 'talkshow', 'host', 'crave', 'privaci']","['Drama', 'Comedy']"
605,en,Teen Titans: Trouble in Tokyo,"['america', 'coolest', 'hero', 'teen', 'titan', 'head', 'japan', 'spring', 'action', 'new', 'threat', 'dichromat', 'ninja', 'saicotek', 'appear', 'citi', 'chase', 'across', 'citi', 'ensu', 'end', 'titan', 'tower', 'saicotek', 'interrog', 'robin', 'aid', 'translat', 'program', 'reveal', 'ident', 'one', 'sent', 'ninja', 'escap', 'bond', 'vanish', 'destroy', 'fire', 'sprinkler', 'titan', 'lead', 'search', 'mysteri', 'master', ' ', 'shadowi', 'figur', 'known', 'brushogun']","['Animation', 'Action', 'Science Fiction', 'TV Movie']"
606,en,Scent of a Woman,"['charli', 'simm', 'student', 'privat', 'preparatori', 'school', 'come', 'poor', 'famili', 'earn', 'money', 'flight', 'home', 'gresham', 'oregon', 'christma', 'charli', 'take', 'job', 'thanksgiv', 'look', 'retir', 'us', 'armi', 'offic', 'lieuten', 'colonel', 'frank', 'slade', 'cantanker', 'middleag', 'man', 'live', 'niec', 'famili']",['Drama']
607,en,The Man Who Shot Liberty Valance,"['question', 'aris', 'senat', 'stoddard', 'jame', 'stewart', 'attend', 'funer', 'local', 'man', 'name', 'tom', 'doniphon', 'john', 'wayn', 'small', 'western', 'town', 'flash', 'back', 'learn', 'doniphon', 'save', 'stoddard', 'lawyer', 'rough', 'crew', 'outlaw', 'terror', 'town', 'led', 'liberti', 'valanc', 'lee', 'marvin', 'territori', 'safeti', 'hung', 'balanc', 'doniphon', 'stoddard', 'two', 'peopl', 'stand', 'prove', 'import', 'differ', 'foe', 'valanc']",['Western']
608,en,Rocky,"['uneduc', 'collector', 'philadelphia', 'loan', 'shark', 'given', 'onceinalifetim', 'opportun', 'fight', 'world', 'heavyweight', 'box', 'champion']",['Drama']
609,en,Poor Things,"['brought', 'back', 'life', 'unorthodox', 'scientist', 'young', 'woman', 'run', 'lawyer', 'whirlwind', 'adventur', 'across', 'contin', 'free', 'prejudic', 'time', 'grow', 'steadfast', 'purpos', 'stand', 'equal', 'liber']","['Science Fiction', 'Romance', 'Comedy']"
610,ja,ヱヴァンゲリヲン新劇場版：破,"['constant', 'attack', 'monstrou', 'creatur', 'call', 'angel', 'seek', 'erad', 'humankind', 'un', 'special', 'agenc', 'nerv', 'introduc', 'two', 'new', 'eva', 'pilot', 'help', 'defend', 'citi', 'tokyo3', 'mysteri', 'makinami', 'mari', 'illustr', 'intens', 'asuka', 'langley', 'shikinami', 'meanwhil', 'gendo', 'ikari', 'seel', 'proceed', 'secret', 'project', 'involv', 'rei', 'shinji']","['Animation', 'Science Fiction', 'Action', 'Drama']"
611,en,Die Hard,"['nypd', 'cop', 'john', 'mcclane', 'plan', 'reconcil', 'estrang', 'wife', 'thrown', 'seriou', 'loop', 'minut', 'arriv', 'offic', 'entir', 'build', 'overtaken', 'group', 'terrorist', 'littl', 'help', 'lapd', 'wisecrack', 'mcclane', 'set', 'singlehandedli', 'rescu', 'hostag', 'bring', 'bad', 'guy']","['Action', 'Thriller']"
612,en,Everything Everywhere All at Once,"['age', 'chines', 'immigr', 'swept', 'insan', 'adventur', 'alon', 'save', 'what', 's', 'import', 'connect', 'live', 'could', 'led', 'univers']","['Action', 'Adventure', 'Science Fiction']"
613,ja,風立ちぬ,"['lifelong', 'love', 'flight', 'inspir', 'japanes', 'aviat', 'engin', 'jiro', 'horikoshi', 'whose', 'stori', 'career', 'includ', 'creation', 'a6', 'm', 'world', 'war', 'ii', 'fighter', 'plane']","['Drama', 'Animation', 'Romance', 'War']"
614,fr,Le Dîner de cons,"['pierr', 'brochant', 'friend', 'wednesday', '“', 'idiot', 'day', '”', 'idea', 'simpl', 'person', 'bring', 'along', 'idiot', 'one', 'bring', 'spectacular', 'idiot', 'win', 'prize', 'tonight', 'brochant', 'ecstat', 'found', 'gem', 'ultim', 'idiot', '“', 'a', 'world', 'champion', 'idiot', '!', '”', 'brochant', 'doe', 'n’t', 'know', 'pignon', 'real', 'jinx', 'past', 'master', 'art', 'bring', 'catastroph']",['Comedy']
615,en,God's Own Country,"['young', 'farmer', 'rural', 'yorkshir', 'numb', 'daili', 'frustrat', 'bing', 'drink', 'casual', 'sex', 'arriv', 'romanian', 'migrant', 'worker']","['Romance', 'Drama']"
616,en,Straight Outta Compton,"['1987', 'five', 'young', 'men', 'use', 'brutal', 'honest', 'rhyme', 'hardcor', 'beat', 'put', 'frustrat', 'anger', 'life', 'danger', 'place', 'america', 'power', 'weapon', 'music', ' ', 'take', 'us', 'back', 'began', 'straight', 'outta', 'compton', 'tell', 'true', 'stori', 'cultur', 'rebel', '—', 'arm', 'lyric', 'swagger', 'bravado', 'raw', 'talent', '—', 'stood', 'author', 'meant', 'keep', 'form', 'world', '’s', 'danger', 'group', 'nwa', ' ', 'spoke', 'truth', 'one', 'expos', 'life', 'hood', 'voic', 'ignit', 'social', 'revolut', 'still', 'reverber', 'today']","['Drama', 'Music', 'History']"
617,en,Partly Cloudy,"['everyon', 'know', 'stork', 'deliv', 'babi', 'stork', 'get', 'babi', 'from', '?', 'answer', 'lie', 'stratospher', 'cloud', 'peopl', 'sculpt', 'babi', 'cloud', 'bring', 'life', 'gu', 'lone', 'insecur', 'grey', 'cloud', 'master', 'creat', 'danger', 'babi', 'crocodil', 'porcupin', 'ram', ' ', 'guss', 'belov', 'creation', 'work', 'art', 'hand', 'loyal', 'deliveri', 'stork', 'partner', 'peck', 'guss', 'creation', 'becom', 'rambuncti', 'peck', 'job', 'get', 'harder', 'harder', 'peck', 'manag', 'handl', 'hazard', 'cargo', 'friend', 'fieri', 'tempera', '?']","['Animation', 'Family', 'Comedy']"
618,en,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"['mysteri', 'inc', 'tail', 'strang', 'object', 'nowher', 'kansa', 'strang', 'hometown', 'eustic', 'muriel', 'courag', 'gang', 'soon', 'find', 'contend', 'giant', 'cicada', 'monster', 'wing', 'warrior']","['Animation', 'Comedy', 'Mystery', 'Family', 'Fantasy']"
619,en,Luck,"['suddenli', 'find', 'neverbeforeseen', 'land', 'luck', 'unluckiest', 'person', 'world', 'must', 'unit', 'magic', 'creatur', 'turn', 'luck', 'around']","['Animation', 'Adventure', 'Comedy', 'Fantasy']"
620,en,Dune,"['paul', 'atreid', 'brilliant', 'gift', 'young', 'man', 'born', 'great', 'destini', 'beyond', 'understand', 'must', 'travel', 'danger', 'planet', 'univers', 'ensur', 'futur', 'famili', 'peopl', 'malevol', 'forc', 'explod', 'conflict', 'planet', 'exclus', 'suppli', 'preciou', 'resourc', 'existencea', 'commod', 'capabl', 'unlock', 'human', 'greatest', 'potentialonli', 'conquer', 'fear', 'surviv']","['Science Fiction', 'Adventure']"
621,en,Presto,"['digniti', 'pois', 'mysteri', 'expect', 'noth', 'less', 'great', 'turnofthecenturi', 'magician', 'presto', 'presto', 'neglect', 'feed', 'rabbit', 'one', 'mani', 'time', 'magician', 'find', 'is', 'nt', 'one', 'trick', 'sleev', '!']","['Animation', 'Family', 'Comedy']"
622,en,The Wrong Trousers,"['wallac', 'rent', 'gromit', 'former', 'bedroom', 'penguin', 'take', 'interest', 'techno', 'pant', 'creat', 'wallac', 'howev', 'gromit', 'later', 'learn', 'penguin', 'want', 'crimin']","['Animation', 'Comedy', 'Family']"
623,en,Guy Ritchie's The Covenant,"['war', 'afghanistan', 'local', 'interpret', 'risk', 'life', 'carri', 'injur', 'sergeant', 'across', 'mile', 'gruel', 'terrain']","['War', 'Action', 'Thriller']"
624,en,Gifted Hands: The Ben Carson Story,"['gift', 'hand', 'ben', 'carson', 'stori', 'movi', 'base', 'life', 'stori', 'worldrenown', 'neurosurgeon', 'ben', 'carson', '1961', '1987']",['Drama']
625,es,Nueve reinas,"['two', 'con', 'artist', 'tri', 'swindl', 'stamp', 'collector', 'sell', 'sheet', 'counterfeit', 'rare', 'stamp', 'nine', 'queen']","['Crime', 'Thriller', 'Drama']"
626,fr,Close,"['thirteenyearold', 'léo', 'rémi', 'alway', 'close', 'drift', 'apart', 'intimaci', 'relationship', 'question', 'schoolmat']",['Drama']
627,de,Werk ohne Autor,"['german', 'artist', 'kurt', 'barnert', 'escap', 'east', 'germani', 'live', 'west', 'germani', 'torment', 'childhood', 'nazi', 'gdr', 'regim']","['Drama', 'Romance', 'History']"
628,en,Donnie Darko,"['narrowli', 'escap', 'bizarr', 'accid', 'troubl', 'teenag', 'plagu', 'vision', 'larg', 'bunni', 'rabbit', 'manipul', 'commit', 'seri', 'crime']","['Fantasy', 'Drama', 'Mystery']"
629,en,A Million Miles Away,"['life', 'engin', 'former', 'nasa', 'astronaut', 'josé', 'hernández', 'first', 'migrant', 'farmwork', 'go', 'space']","['Drama', 'History']"
630,en,The Dark Knight Rises,"['follow', 'death', 'district', 'attorney', 'harvey', 'dent', 'batman', 'assum', 'respons', 'dent', 'crime', 'protect', 'late', 'attorney', 'reput', 'subsequ', 'hunt', 'gotham', 'citi', 'polic', 'depart', 'eight', 'year', 'later', 'batman', 'encount', 'mysteri', 'selina', 'kyle', 'villain', 'bane', 'new', 'terrorist', 'leader', 'overwhelm', 'gotham', 'finest', 'dark', 'knight', 'resurfac', 'protect', 'citi', 'brand', 'enemi']","['Action', 'Crime', 'Drama', 'Thriller']"
631,ja,時をかける少女,"['17yearold', 'makoto', 'konno', 'gain', 'abil', 'quit', 'liter', 'leap', 'backward', 'time', 'immedi', 'set', 'improv', 'grade', 'prevent', 'person', 'mishap', 'howev', 'soon', 'realis', 'chang', 'past', 'is', 'nt', 'simpl', 'seem', 'eventu', 'reli', 'new', 'power', 'shape', 'futur', 'friend']","['Fantasy', 'Animation', 'Drama', 'Science Fiction']"
632,en,The Untouchables,"['young', 'treasuri', 'agent', 'eliot', 'ness', 'arriv', 'chicago', 'determin', 'take', 'al', 'capon', 'not', 'go', 'easi', 'capon', 'polic', 'pocket', 'ness', 'meet', 'jim', 'malon', 'veteran', 'patrolman', 'probabl', 'honor', 'one', 'forc', 'ask', 'malon', 'help', 'get', 'capon', 'malon', 'warn', 'goe', 'capon', 'go', 'war']","['Crime', 'History', 'Thriller']"
633,sv,Såsom i en spegel,"['karin', 'hope', 'recov', 'recent', 'stay', 'mental', 'hospit', 'spend', 'summer', 'famili', 'cottag', 'tini', 'island', 'husband', 'martin', 'care', 'frustrat', 'physic', 'withdraw', 'younger', 'brother', 'minu', 'confus', 'karin', 'vulner', 'bud', 'sexual', 'father', 'david', 'can', 'not', 'overcom', 'haughti', 'remot', 'beset', 'vision', 'karin', 'descend', 'mad']",['Drama']
634,en,Hustle,"['discov', 'onceinalifetim', 'player', 'rocki', 'past', 'abroad', 'luck', 'basketbal', 'scout', 'take', 'upon', 'bring', 'phenom', 'state', 'without', 'team', 'approv', 'odd', 'one', 'final', 'shot', 'prove', 'take', 'make', 'nba']","['Drama', 'Comedy']"
635,en,Dogville,"['mysteri', 'woman', 'name', 'grace', 'hide', 'small', 'mountain', 'town', 'crimin', 'pursu', 'town', 'twofac', 'offer', 'harbor', 'grace', 'long', 'make', 'worth', 'effort', 'grace', 'work', 'hard', 'employ', 'variou', 'townspeopl', 'win', 'favor', 'tension', 'flare', 'howev', 'grace', 'statu', 'helpless', 'outsid', 'provok', 'viciou', 'contempt', 'abus', 'citizen', 'dogvil']","['Crime', 'Drama', 'Thriller']"
636,fr,Amour,"['georg', 'ann', 'eighti', 'cultiv', 'retir', 'music', 'teacher', 'daughter', 'also', 'musician', 'live', 'abroad', 'famili', 'one', 'day', 'ann', 'stroke', 'coupl', 'bond', 'love', 'sever', 'test']","['Drama', 'Romance']"
637,en,Touch of Evil,"['car', 'bomb', 'explod', 'american', 'side', 'usmexico', 'border', 'mexican', 'drug', 'enforc', 'agent', 'miguel', 'varga', 'begin', 'investig', 'along', 'american', 'polic', 'captain', 'hank', 'quinlan', 'varga', 'begin', 'suspect', 'quinlan', 'shadi', 'partner', 'menzi', 'plant', 'evid', 'frame', 'innoc', 'man', 'investig', 'possibl', 'corrupt', 'quickli', 'put', 'new', 'bride', 'susi', 'jeopardi']","['Crime', 'Thriller', 'Mystery']"
638,en,Safety Last!,"['store', 'clerk', 'organ', 'contest', 'climb', 'outsid', 'tall', 'build', 'circumst', 'forc', 'make', 'peril', 'climb']","['Comedy', 'Romance']"
639,it,Profondo rosso,"['one', 'night', 'musician', 'marcu', 'dali', 'look', 'street', 'wit', 'brutal', 'axe', 'murder', 'woman', 'apart', 'race', 'scene', 'manag', 'miss', 'perpetr', 'think']","['Horror', 'Mystery', 'Thriller']"
640,te,రౌద్రం రణం రుధిరం,"['fiction', 'histori', 'two', 'legendari', 'revolutionari', 'journey', 'away', 'home', 'began', 'fight', 'countri', '1920']","['Action', 'Drama']"
641,ja,ノーゲーム・ノーライフ ゼロ,"['ancient', 'disboard', 'riku', 'angri', 'young', 'warrior', 'intent', 'save', 'human', 'war', 'exceed', 'sixteen', 'sentient', 'speci', 'fight', 'establish', 'one', 'true', 'god', 'amongst', 'old', 'deu', 'lawless', 'land', 'human', 'lack', 'magic', 'weak', 'bodi', 'made', 'easi', 'target', 'leav', 'brink', 'extinct', 'one', 'day', 'hope', 'return', 'human', 'riku', 'find', 'power', 'femal', 'exmachina', 'name', 'schwi', 'exil', 'cluster', 'research', 'human', 'emot', 'schwi', 'convinc', 'human', 'surviv', 'due', 'power', 'feel', 'form', 'unlik', 'partnership', 'midst', 'overwhelm', 'chao', 'riku', 'schwi', 'must', 'find', 'answer', 'individu', 'shortcom', 'discov', 'truli', 'mean', 'human', 'fight', 'live', 'odd', 'power', 'new', 'alli', 'tow', 'prevent', 'extinct', 'human', 'race', 'establish', 'peac', 'throughout', 'disboard', '!']","['Adventure', 'Animation', 'Drama', 'Fantasy', 'Romance']"
642,en,Shelter,"['forc', 'give', 'dream', 'art', 'school', 'zach', 'work', 'deadend', 'job', 'support', 'sister', 'son', 'question', 'life', 'paint', 'surf', 'hang', 'best', 'friend', 'gabe', 'gabe', 'older', 'brother', 'return', 'home', 'summer', 'zach', 'suddenli', 'find', 'drawn', 'relationship', 'did', 'nt', 'expect']","['Drama', 'Romance']"
643,en,Short Term 12,"['grace', 'compassion', 'young', 'supervisor', 'foster', 'care', 'facil', 'help', 'atrisk', 'teen', 'new', 'charg', 'dredg', 'memori', 'troubl', 'past', 'grace', 'tough', 'exterior', 'begin', 'erod']",['Drama']
644,en,Awakenings,"['dr', 'malcolm', 'sayer', 'shi', 'research', 'physician', 'use', 'experiment', 'drug', 'awaken', 'cataton', 'victim', 'rare', 'diseas', 'leonard', 'first', 'patient', 'receiv', 'controversi', 'treatment', 'awaken', 'fill', 'awe', 'enthusiasm', 'prove', 'rebirth', 'sayer', 'exuber', 'patient', 'reveal', 'life', 'simpl', 'unutter', 'sweet', 'pleasur', 'introvert', 'doctor']",['Drama']
645,tr,Mustang,"['turkish', 'villag', 'five', 'orphan', 'sister', 'live', 'strict', 'rule', 'member', 'famili', 'prepar', 'arrang', 'marriag']",['Drama']
646,en,Rain Man,"['car', 'dealer', 'charli', 'babbitt', 'learn', 'estrang', 'father', 'die', 'return', 'home', 'cincinnati', 'discov', 'savant', 'older', 'brother', 'name', 'raymond', 'father', '3', 'million', 'fortun', 'left', 'mental', 'institut', 'raymond', 'live', 'motiv', 'father', 'money', 'charli', 'check', 'raymond', 'facil', 'order', 'return', 'lo', 'angel', 'brother', 'crosscountri', 'trip', 'end', 'chang', 'live']",['Drama']
647,en,Big Fish,"['throughout', 'life', 'edward', 'bloom', 'alway', 'man', 'big', 'appetit', 'enorm', 'passion', 'tall', 'tale', 'later', 'year', 'remain', 'huge', 'mysteri', 'son', 'william', 'get', 'know', 'real', 'man', 'begin', 'piec', 'togeth', 'true', 'pictur', 'father', 'flashback', 'amaz', 'adventur']","['Adventure', 'Fantasy', 'Drama']"
648,en,Notorious,"['order', 'help', 'bring', 'nazi', 'justic', 'us', 'govern', 'agent', 'tr', 'devlin', 'recruit', 'alicia', 'huberman', 'american', 'daughter', 'convict', 'german', 'war', 'crimin', 'spi', 'begin', 'fall', 'one', 'anoth', 'alicia', 'instruct', 'win', 'affect', 'alexand', 'sebastian', 'nazi', 'hide', 'brazil', 'sebastian', 'becom', 'seriou', 'relationship', 'alicia', 'stake', 'get', 'higher', 'devlin', 'must', 'watch', 'slip', 'undercov']","['Thriller', 'Romance', 'Mystery']"
649,en,The Ten Commandments,"['escap', 'death', 'hebrew', 'infant', 'rais', 'royal', 'household', 'becom', 'princ', 'upon', 'discoveri', 'true', 'heritag', 'mose', 'embark', 'person', 'quest', 'reclaim', 'destini', 'leader', 'liber', 'hebrew', 'peopl']","['Drama', 'History']"
650,en,Life of Brian,"['brian', 'cohen', 'averag', 'young', 'jewish', 'man', 'seri', 'ridicul', 'event', 'gain', 'reput', 'messiah', 'he', 's', 'not', 'dodg', 'follow', 'scold', 'shrill', 'mother', 'hapless', 'brian', 'contend', 'pompou', 'pontiu', 'pilat', 'acronymobsess', 'member', 'separatist', 'movement', 'rife', 'monti', 'python', 'signatur', 'absurd', 'tale', 'find', 'brian', 'life', 'parallel', 'biblic', 'lore', 'albeit', 'mani', 'laugh']",['Comedy']
651,en,Back to the Future Part II,"['marti', 'doc', 'wacki', 'sequel', '1985', 'blockbust', 'timetravel', 'duo', 'head', '2015', 'nip', 'mcfli', 'famili', 'woe', 'bud', 'thing', 'go', 'awri', 'thank', 'bulli', 'biff', 'tannen', 'peski', 'sport', 'almanac', 'lastditch', 'attempt', 'set', 'thing', 'straight', 'marti', 'find', 'bound', '1955', 'face', 'face', 'teenag', 'parent']","['Adventure', 'Comedy', 'Science Fiction']"
652,en,A Man Called Otto,"['live', 'young', 'famili', 'move', 'next', 'door', 'grumpi', 'widow', 'otto', 'anderson', 'meet', 'match', 'quickwit', 'pregnant', 'woman', 'name', 'marisol', 'lead', 'unlik', 'friendship', 'turn', 'world', 'upsid']","['Comedy', 'Drama']"
653,en,Misery,"['stalk', 'save', 'life', 'favorit', 'fiction', 'author', 'car', 'accid', ' ', 'manic', 'obsessor', 'hold', 'captiv', 'remot', 'colorado', 'home', 'forc', 'write', 'back', 'life', 'popular', 'literari', 'charact', 'kill']","['Drama', 'Thriller']"
654,de,Der Himmel über Berlin,"['two', 'angel', 'damiel', 'cassiel', 'glide', 'street', 'berlin', 'observ', 'bustl', 'popul', 'provid', 'invis', 'ray', 'hope', 'distress', 'never', 'interact', 'damiel', 'fall', 'love', 'lone', 'trapez', 'artist', 'marion', 'angel', 'long', 'experi', 'life', 'physic', 'world', 'find', ' ', 'word', 'wisdom', 'actor', 'peter', 'falk', ' ', 'might', 'possibl', 'take', 'human', 'form']","['Drama', 'Fantasy', 'Romance']"
655,sv,Fanny och Alexander,"['children', 'love', 'ekdahl', 'famili', 'fanni', 'alexand', 'enjoy', 'happi', 'life', 'parent', 'run', 'theater', 'compani', 'father', 'die', 'unexpectedli', 'howev', 'sibl', 'end', 'joyless', 'home', 'mother', 'emili', 'marri', 'stern', 'bishop', 'bleak', 'situat', 'gradual', 'grow', 'wors', 'bishop', 'becom', 'control', 'dedic', 'rel', 'make', 'valiant', 'attempt', 'aid', 'emili', 'fanni', 'alexand']","['Fantasy', 'Drama', 'Mystery']"
656,en,The Color Purple,"['epic', 'tale', 'span', 'forti', 'year', 'life', 'celi', 'africanamerican', 'woman', 'live', 'south', 'surviv', 'incred', 'abus', 'bigotri', 'celi', 'abus', 'father', 'marri', 'equal', 'debas', 'mister', 'albert', 'johnson', 'thing', 'go', 'bad', 'wors', 'leav', 'celi', 'find', 'companionship', 'anywher', 'persever', 'hold', 'dream', 'one', 'day', 'reunit', 'sister', 'africa']","['Drama', 'History']"
657,ko,범죄도시,"['chinatown', 'law', 'order', 'turn', 'upsid', 'trio', 'feral', 'chines', 'gangster', 'arriv', 'start', 'terror', 'civilian', 'usurp', 'territori', 'beleagu', 'local', 'gangster', 'team', 'polic', 'lead', 'badass', 'loos', 'cannon', 'seokdo', 'bring', 'base', 'true', 'stori']","['Action', 'Crime', 'Thriller']"
658,en,All Quiet on the Western Front,"['group', 'idealist', 'young', 'men', 'join', 'german', 'armi', 'world', 'war', 'assign', 'western', 'front', 'patriot', 'destroy', 'harsh', 'realiti', 'combat']","['Drama', 'War']"
659,fr,PlayTime,"['clumsi', 'monsieur', 'hulot', 'find', 'perplex', 'intimid', 'complex', 'gadgetfil', 'pari', 'attempt', 'meet', 'busi', 'contact', 'soon', 'becom', 'lost', 'roundabout', 'journey', 'parallel', 'american', 'tourist', 'weav', 'invent', 'urban', 'environ', 'intermitt', 'meet', 'develop', 'interest', 'one', 'anoth', 'eventu', 'get', 'togeth', 'chaotic', 'restaur', 'along', 'sever', 'quirki', 'charact']",['Comedy']
660,es,El laberinto del fauno,"['live', 'tyrann', 'stepfath', 'new', 'home', 'pregnant', 'mother', '10yearold', 'ofelia', 'feel', 'alon', 'explor', 'decay', 'labyrinth', 'guard', 'mysteri', 'faun', 'claim', 'know', 'destini', 'wish', 'return', 'real', 'father', 'ofelia', 'must', 'complet', 'three', 'terrifi', 'task']","['Fantasy', 'Drama', 'War']"
