,name,description,ResponsibleMissionDirectorate:,LeadOrganization:,ResponsibleProgram:,ProgramDirector:,ProgramManager:,ProjectManager:,PrincipalInvestigator:,Co-Investigator:,Start,End,ProjectManagers:,PrincipalInvestigators:,LeadCenter/Facility:,ProgramDirectors:,Co-Investigators:,ProgramManagers:
213,A Networked Flight Dynamics Platform for Collaborative Design and Optimization,"Nabla Zero Labs will investigate the feasibility and technical merit of the Astrodynamics Cloud: A technology enabling the collaborative design, analysis, and optimization of spacecraft trajectories. We aim to support autonomous, integrated, and inter-operable modeling capabilities throughout NASA's mission portfolio, as well as the rapidly-growing small-satellite industry. The technology consolidates both new and existing software, algorithms, and data structures into an on-line, high-performance service. It is based on four core components: 1. The Trajectory Graph Data Structure, used for management, traversal, and persistent storage of available transfers. 2. The Search Strategy Interface, used for interaction between the graph and existing or new software and algorithms for rapid exploration of transfer options near and around planets, satellites, and small bodies. 3. The Trajectory Optimization Interface, used for interaction between the approximate rapid-search solutions and algorithms for high-fidelity trajectory optimization in multi-body environments. 4. The Distributed Analytics Engine, used for decentralized collaboration, analytical support, and orchestration of massively-parallel, high-performance workloads, such as situational awareness, machine learning, and Monte Carlo analysis. We aim for our technology to continue pushing the current generational leap from sequential computing to concurrent and parallel. In addition, we propose a novel paradigm shift: from an outdated single-user and batch-oriented workflow, to a truly collaborative multi-user and incremental view.
						More »",Space Technology Mission Directorate(STMD),Nabla Zero Labs,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,JuanArrieta,,Aug2019,Feb2020,Donald Ellison,,,,,
214,High Efficiency 4 K Cryocooler for Space Missions,"Future astrophysics missions require efficient, low-temperature cryocoolers to cool advanced instruments or serve as the upper stage cooler for sub-Kelvin refrigerators. Potential astrophysics missions include Lynx, the Origin Space Telescope, and the Superconducting Gravity Gradiometer. Cooling loads for these missions are up to 300 mW at temperatures of 4 to 10 K, with additional loads at higher temperatures for other subsystems. Due to low jitter requirements, a cryocooler with very low vibration is needed for many missions. In addition, a multi-stage cooler, capable of providing refrigeration at more than one temperature simultaneously, can provide the greatest system efficiency with the lowest mass. Turbo-Brayton cryocoolers have space heritage and are ideal for these missions due to negligible vibration emittance and high efficiency at low temperatures. The primary limitation in implementing Brayton cryocoolers at temperatures below 10 K has been the development of high efficiency turbines. On the proposed program, Creare plans to leverage recent developments in gas bearing technology and low-temperature alternators to realize a high-efficiency, low-temperature turbine. On the Phase I project, we will perform a proof-of-concept demonstration of the turbine technology at temperatures down to 4 K. On the Phase II project, we will build and demonstrate an advanced low-temperature turbine at temperatures of 4 to 10 K.
						More »",Space Technology Mission Directorate(STMD),"Creare, LLC",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,MarkZagarola,,Jul2018,Feb2019,CharlesDelee,,,,,
215,Polymer Derived Ceramic Nanocomposites for Advanced Thermoelectrics,"In order to continue exploring deep space and to create the capabilities of allowing manned exploration to Mars and beyond, NASA has stated that it is vital to develop new power generation technologies that can power our future spacecraft more efficiently while simultaneously minimizing mass and maintaining reliability. Thermoelectric devices provide a simple way to convert heat into electricity without any moving parts promoting long-term, maintenance free operation. However, current state-of-the-art technologies are limited in that they achieve an operational efficiency of around 6-7%, are made of expensive and hazardous materials, and require a very large thermal gradient in order to produce any useable power. Over the last decade, theoretical and experimental work has proved that nanostructuring of the thermoelectric materials provides a very promising means for effectively increasing the operational efficiency through means of quantum confinement. Through quantum confinement, it has been shown that the electrical and thermal transport of a material can be decoupled and provide a means of increasing the efficiency through increasing the figure-of-merit, given by ZT=Î±2ÏƒT/Îº, where Î± is Seebeck coefficient, Ïƒ is electrical conductivity, and Îº is thermal conductivity. While various types of materials have been used to fabricate thermoelectrics with a decent ZT, thermally and chemically stable thermoelectric materials made from earth abundant materials are still required for deep space exploration. The research proposed within aims to further explore this area of nanostructured thermoelectrics by creating a new thermoelectric material based off of polymer-derived ceramics. Polymer-derived ceramics (PDCs) are a class of silicon-based, amorphous ceramic materials that are created through the thermal decomposition of polymeric precursors. PDCs offer a very high thermal stability (~1300-1500oC), have a high mechanical strength, as well as oxidation, corrosion, and irradiation stability. Like their polymeric precursors, they also possess an inherently low thermal conductivity. However, simple PDCs face the challenges of low electrical conductivity and charge carrier densities. It is hypothesized that 1) introducing anisotropic graphene fillers into the amorphous SiCN PDC matrix improves the charge transport efficiency but does not contribute significantly to phonon transport due to multiple length scale scattering; 2) the band structure of SiCN can be tuned for efficient charge transfer at SiCN/carbon interfaces; and 3) incorporating nickel nanoparticles into SiCN composite increases the scattering of low-energy electrons and reduces the electron-phonon coupling, leading to an increase of the figure-of-merit. To validate these hypotheses, I will first synthesize and characterize pure polymer-derived SiCN ceramics and the graphene/nanoparticle embedded SiCN nanocomposites followed by a synergistic structural characterization to understand how the ceramic composition and pyrolysis temperature affect the ceramic structures. The subsequent evaluation and comparison of the thermoelectric properties of pure SiCN and SiCN nanocomposites will reveal the effect of graphene, metal nanoparticles, and nanoscale structures on the charge carrier density, electrical conductivity, thermal conductivity, Seebeck coefficient, and the figure-of-merit ZT. Such understandings will provide scientific guidelines for the design, synthesis, and applications of PDC composites with significantly improved thermoelectric performance.
						More »",Space Technology Mission Directorate(STMD),University of Central Florida(UCF),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,FrederickWDynys,LeiZhai,ElizabethBarrios,Aug2016,Dec2020,,,,,,
216,Implementing a Near-Optimal Optical Receiver for Inter-Planetary Communication,"Proposal Objective: Interplanetary communications signals are inherently weak at the receiver. In fact, for a desired data rate the received optical pulses may contain less than even a single photon. By exploiting both a novel optical receiver architecture and a newly demonstrated quantum switch, I propose to design, construct, and characterize a proof-of-principle implementation of a near-optimal optical transceiver suitable for Earth-Mars communications. Key Methods and Techniques: This proposal relies on two novel discoveries: (1) a new receiver architecture, recently proposed by Guha [1], which allows near-optimal communications using individual pulses which each contain far less than a single photon, and (2) an ultra-fast, low-loss, coherent, single-photon optical switch - exactly the type of revolutionary quantum switch recently developed in the Kumar group [2,3]. This proposal's key methods and techniques involve the successful exploitation of both innovations. Unlike typical receiver architectures, the Guha receiver assumes that loss has degraded a transmitted signal to the point where each transmitted pulse contains less than a single photon. By encoding the data to be transmitted into a large number of these very weak pulses, each in their own spatial mode, and then combining these many weak pulses into a single pulse bright enough to be detected, the Guha receiver can approach the optimal communications rate. This increase in system capacity is known as superadditivity [4]. Although the Guha receiver, in principle, allows for increased capacity there are practical problems with implementing a multi-spatial-mode inter-planetary communications system. In an Earth-Mars communication system, for example, any distinct spatial modes at the transmitter will completely overlap by the time the signal reaches the receiver. Fortunately, many of these problems can be avoided by redesigning the Guha receiver as a temporally, rather than spatially encoded architecture. Implementing the Guha architecture for temporally encoded signals requires a device which can manipulate, with very low loss and at very high speeds, the individual temporal modes of a single photon. In other words, a quantum optical switch is needed.  My group has recently demonstrated just such an all-optical, ultra-fast (200-ps switching window), low-loss (1.5dB), high switching contrast (120:1) device [2-3]. This single photon switch is a nonlinear optical loop mirror whose reflectivity is controlled by a separate pump pulse. I propose to combine multiple switches in a temporal Guha architecture in order to implement a proof-of-principle near-optimal optical receiver suitable for Earth-Mars communications. Significance of Proposed Research: Deep-space communications involve extremely high loss. While signal strength can be recovered by increasing detection time, this strongly limits the data rate. However, a recently proposed joint detection receiver has the potential to dramatically increase these rates, approaching the Holevo limit even when each transmitted pulse, after an enormous transmission loss, contains far less than a single photon. I propose to construct a proof-of-principle implementation of a modified Guha receiver using ultra-fast, low-loss, single photon switching technology. If successful, this project could lead to the deployment of high-rate communications systems for future NASA missions. References: [1] S. Guha, Phys. Rev. Lett. 106, 240502 (2011). [2] M. Hall et al., Phys. Rev. Lett. 106, 053901 (2011). [3] M. Patel et al., IEEE Summer Topical Meeting Series, p. 16-17, (July 2011). [4] M. Sasaki et al., Phys Rev. A., 54, 1869 (1996).
						More »",Space Technology Mission Directorate(STMD),Northwestern University,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,RobertRomanofsky,GregoryKanter,TimRambo,Aug2012,May2016,,,,,,
217,Radiation-Hardened I/O Expansion Chip,"VORAGO Technologies will create a rad-hard I/O Expansion Chip for next generation spaceflight processor devices, including the High-Performance Spaceflight Computing (HPSC) Chiplet. The I/O Expansion chip will have multiple high-speed interfaces so that it can interface with a space processor and support high speed communications. It will also have programmable-voltage-level GPIO to support both non-differential communications protocols and general I/O expansion. The I/O expansion chip will provide dedicated hardware on the IC to support each of the communications protocols. The I/O expansion chip will also include an appropriate amount of memory and a multi-channel Direct Memory Access controller system to support simultaneous high-speed communications. To optimize power consumption, multiple PLL sources will be available on-chip to provide the appropriate clock generation for the on-chip communications controllers. An ARM® A5 processor core will be included on the I/O Expansion Chip so that it can be used autonomously from the spaceflight processor device. This feature is expected to give the system designer good options for system level power saving modes as well as more system fault management capabilities. The I/O Expansion chip will be implemented using VORAGO Technologies proven radiation-hardening HARDSIL® technology. HARDSIL technology will make the I/O Expansion chip immune from latch-up.
						More »",Space Technology Mission Directorate(STMD),Silicon Space Technology Corporation,Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,RossBannatyne,,Jul2018,Feb2019,RobertJones,,,,,
218,Model-based Enterprise Architecture for Institutional Management Digital Twins,"Global Technology Connection, Inc. and its university partners propose a structured, model-based approach to the definition and development of Institutional Management Digital Twins that is guided by architectural and Model-Based Systems Engineering (MBSE) practices and principles. The proposed technical approach identifies a series of steps aimed at guiding engineers through such digital twin development tasks. Such capability would provide multiple benefits including having optimal level and granularity of information and better problem understanding for critical decision making, model and knowledge reuse to reduce digital twin development time frames, improved operations, communication, and collaboration among several stakeholders. In Phase I, we will identify users and use cases, scope and context, data sources and types, modeling needs and its details, and the final product and its views. Access to ongoing Digital Twin proof-of-concept studies and the team’s breadth of experience in modeling languages like SysML and MBSE solutions in the field of Digital Twin Institutional Management to support Health/Automated Decision Making at multiple scales across buildings and campuses will be leveraged in this effort. In phase II, we will expand on the Phase I developed Digital Twin architectures to develop commercial level prototypes and apply them on identified industry/partner’s buildings.
						More »",Space Technology Mission Directorate(STMD),"Global Technology Connection, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,OliviaPinonFischer,,May2021,Jun2022,CraigMoore,,,,,
219,A Ferroelectric Semiconductor Absorber for Surpassing the Shockley-Queisser Limit,"Physical Sciences Inc. (PSI) proposes to develop new solar cells based on a ferroelectric semiconductor absorber material that can yield a 30% increase in efficiency and a 20% increase in specific power compared with current triple-junction III-V cells. These gains will be realized by exploiting a unique charge separation mechanism in ferroelectrics that enables open-circuit voltages many times the band gap, leading to maximum power conversion efficiencies exceeding the conventional Shockley-Queisser limit (33%). PSI and team members will create photovoltaic cells based on Earth-abundant SnS stabilized in a ferroelectric state by epitaxial strain engineering. By combining above-gap cell voltages with the high absorption coefficient (45% is anticipated to be achievable. Importantly, these cells will also offer improved radiation resistance due to the reduced carrier diffusion lengths required by the unique ferroelectric charge separation mechanism. During Phase I, PSI, guided by first-principles calculations conducted by the PARADIM Center at Cornell University, will demonstrate room-temperature ferroelectric ordering in SnS through epitaxial strain engineering. During Phase II, PSI and Lawrence Berkeley National Laboratory will demonstrate the potential of the proposed absorber by achieving above-band gap open-circuit voltages in prototype cells. During a Phase III effort, the efficiency of these cells will be increased to a target value of 45% through reduction of intrinsic defects, leading to substantial improvements in cell size, weight, and power output.
						More »",Space Technology Mission Directorate(STMD),"Physical Sciences, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,,,Jun2017,Dec2017,SheilaBailey,MarkJPolking,,,,
220,Asynchronous Geiger-mode photon counting arrays for deep space optical communications,"Long range laser optical communications offer advantages of higher bandwidth and better accuracy over RF communications. NASA has demonstrated higher bandwidth data transmission using laser optical communication links. Recently, MIT-LL designed and delivered high sensitive Geiger-mode avalanche photodiode (Gm-APD) array receiver as a flight unit for the NASA's deep space communication demonstration program. This will be a first successful demonstration of a Gm-APD receiver technology in space. For many future missions, improvement in detection efficiency, radiation hardness, larger format and space qualifiable Gm-APD photon counting array receivers are needed. We propose a space qualifiable 1064 nm InGaAsP Gm-APD photon counting array receiver with improved photon detection efficiency (PDE). PDE will be improved by increasing the quantum efficiency using reflective layers and increasing the carrier avalanche probability. Our mesa design with a proprietary passivation process offers low dark count rates and improved radiation hardness, In Phase I we plan to demonstrate a 1064 nm InGaAsP Gm-APD photon counting array sensor chip assembly using high detection efficiency arrays. Furthermore, working with NASA, we will establish requirements for a space qualifiable receiver array. The successful completion of Phase I will demonstrate the technical feasibility of a photon counting array receiver with improved sensitivity. In Phase II, we will design, build, and demonstrate a radiation hard 32 x 32 photon counting array receiver with improved sensitivity. We will conduct radiation tests to demonstrate improved radiation hardness. We will deliver an engineering development unit to NASA for evaluation. In addition, we will deliver a flight ready receiver design that will meet specifications for a space mission.
						More »",Space Technology Mission Directorate(STMD),"3D-SensIR, Inc",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,PingYuan,,Aug2023,Feb2024,LynnMTorres,,,,,
221,Efficient Neuromorphic Processor Design for Autonomous Space Operation,"According to the NASA SBIR topic H6.22 description entitled “Deep Neural Net and Neuromorphic Processors for In-Space Autonomy and Cognition,” this subtopic “specifically focuses on advances in signal and data processing. Neuromorphic processing will enable NASA to meet growing demands for applying artificial intelligence and machine learning algorithms on-board a spacecraft to optimize and automate operations. It has been widely received that the recent success of artificial intelligence (AI) is built on three cornerstones: the advance of algorithms, the acquisition of big data, and the availability of high computing power. To further improve the data processing capability and efficiency, researchers, in general, explore from three orthogonal and complementary aspects: algorithm simplification and compression, computing architectures optimized for specific applications, and novel nano-devices that possess unique electrical properties, e.g., synapse- or neuro-alike behavior. These practices are respectively pursued by research societies of machine learning, computer architecture, and solid-state circuit and device. There lacks thorough and sufficient communications and coordination in between. As an example, the quantization of deep neural network (DNN) models often ignores the physical constraints on nano-devices like resistive memory (ReRAM, aka memristor), whose resistance suffers from different variation levels at different resistance values. The higher resistance level can also minimize the power consumption due to the reduced amplitude of the current participating in the computation. Carefully optimizing the quantization scheme of DNNs can achieve both high computational robustness and low power consumption of the ReRAM-based neuromorphic processor.
						More »",Space Technology Mission Directorate(STMD),"Nanomatronix, LLC",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,MatthewLeftwich,,Aug2020,Mar2021,MichaelLowry,,,,,
222,Carbon Nanotube Thermal Interface Materials for Enhanced Thermal Management Project,"Thermal interface materials (TIMs) couple heat sources, such as high speed high performance microprocessors, to heat sinks and are critical for efficient thermal management and reliable device operation. A quality TIM has a thermal conductivity (k) approaching 2 W/m-K. Carbon nanotubes (CNTs) are ballistic thermal conductors (k~2500 W/m-K for individual multi-walled CNTs) which have the potential to greatly improve heat transfer and consequently device performance. The near future of spacecraft will likely be more autonomous, require more processing power, and may include the use of multicore processors or next generation FPGAs. These high thermal density devices can create local hotspots which can hinder device performance and reduce reliability. Highly oriented mats of carbon nanotubes (CNTs) with their extremely high thermal conductivity (k ~ 2500 W/m-K for individual multi-walled CNTs) have the potential to improve the performance and reliability of these devices by functioning as a thermal superhighway, maximizing heat transfer away from the source. Successful implementation of CNTs as a thermal interface material (TIM) would be a significant improvement over the status quo as current quality TIMs are in the form of metal or ceramic filled polymers and greases with thermal conductivities ranging from 0.5 to 2 W/m-K. Implementation of CNT TIMs has been limited due to insufficient thermal and mechanical coupling of the CNTs to secondary and tertiary (i.e. non-growth) surfaces. The investigators have proposed a method to improve the thermal and mechanical coupling of CNTs to these surfaces. In this study the investigators will examine theoretical CNT-substrate interfaces for sources of thermal resistance (phonon scattering) and effective coupling for a variety of metallic substrates. Phonon (quantized lattice vibrations) propagation and dispersion at the interface will be investigated using atomistic and quantum mechanical models and the theoretical potential of heat transfer across the examined interfaces evaluated for potential future work.
						More »",Space Technology Mission Directorate(STMD),Jet Propulsion Laboratory(JPL),Center Innovation Fund: JPL CIF,MichaelRLapointe,FredYHadaegh,,RobertPDillon,,Apr2012,Sep2012,,,,,,
223,Compact and rugged mid-infrared multi-gas open path sensor,"We propose a turn-key in-situ gas sensor that can reliably perform continuous measurements on airborne, ship-based, or other mobile platforms. Specifically, we emphasize that the proposed system is compact, lightweight, power efficient, and therefore can be mounted on small to mid-sized un-crewed aircraft systems. The sensor features a small (centimeter scale) exposed beam path that allows ambient air circulation without active gas sampling. The proposed sensor is based on mid-infrared absorption spectroscopy using Pendar’s proprietary distributed feedback quantum cascade laser array (QCLA) technology. Our monolithically integrated chip-scale coherent source can withstand harsh operating conditions while offering superior wavelength and intensity stability compared to other broadband mid-infrared sources. Broadband spectral coverage (up to 500 cm-1) combined with high frequency resolution (~100 MHz) enable a multi-tasking sensor capable of detecting a multitude of gases including toxic industrial chemicals, chemical warfare agents, greenhouse gases, and volatile organic compounds. The laser source can rapidly tune over a large bandwidth to provide fast spectral measurements, enabling >100 Hz time response. Absorption measurements in the mid-infrared fingerprinting region ensures that a small pathlength is sufficient to reach uncertainty levels of <1% even when operating on moving platforms. By the end of Phase I, we will have built a prototype sensor and experimentally demonstrated that the sensor can reach targeted sensitivities under simulated flight conditions.
						More »",Space Technology Mission Directorate(STMD),"Pendar Technologies, LLC",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,ChuCTeng,,Jul2022,Jan2023,JoshuaDigangi,,,,,
224,"Snow and Water: Imaging Spectroscopy for coasts and snow cover
		
			(SWIS)","This proposal addresses the NASA Earth Science focus areas of Carbon Cycle & Ecosystems, and Water & Energy Cycle. We will develop and demonstrate a scalable imaging spectrometer system that is suitable for small satellites, including CubeSats. Deploying a small number of such satellites is a cost-effective way to close the gap in high spatial and temporal resolution measurements over targeted areas of the Earth's surface. The technology enhances the ability of future NASA missions to address critical science in two localized regions of the Earth: the coastal zone and snow/ice covered mountains. In both cases, high-fidelity imaging spectrometer measurements are needed with comparatively frequent revisit. The high dynamic range needed to sample both bright (snow) and dark (ocean) targets requires a unique and innovative design, as proposed here. Compelling scientific questions can be addressed in both cases with the different orbits of 30–60 m resolution with weekly sampling, and 120–180 m resolution with near daily global revisit times. To address these questions we will demonstrate a high-uniformity, low-polarization sensitivity imaging spectrometer operating in the 350–1700 nm spectral region. We will also demonstrate an on-board calibration system to address the stringent radiometric stability and knowledge that these missions require. The dynamic range of the spectrometer is achieved through high throughput, rapid readout rate, and programmable integration time. A new HgCdTe detector array, optimized for high temperature operation will be fabricated. The array will also feature a linear variable anti-reflection coating to enhance quantum efficiency and minimize backscatter. A CubeSat-compatible assembly comprising the optomechanical system, detector array, and on-board calibrator will be tested in thermal vacuum and vibrated to typical launch loads. The period of performance is three years with an assumed start of April 2014. The entry and exit TRL are 4 and 6 respectively.Develop and demonstrate a scalable imaging spectrometer system that is suitable for small satellites, including cubesats, and with performance characteristics that can address the demanding observational requirements for monitoring coastal ecosystems as well as snow covered areas, including: - high-fidelity imaging spectrometer measurements - high temporal sampling - high spatial resolution - high dynamic range to cover both bright (snow) and dark (ocean) targets
More »",Science Mission Directorate(SMD),,Instrument Incubator,PamelaSMillar,ParminderSGhuman,,PantazisMouroulis,KarenRPiggee,Apr2014,Mar2017,,,NASA Headquarters(HQ),,,
225,Doped Chiral Polymer Negative Index Materials (DCPNIM),"Doped Chiral Polymer-Negative Index Materials (DCP-NIM) with tunable resonance frequencies are developed by adding various plasmonic nanoinclusions into chiral polymers. Amplifying the chiral parameter while lowering the real part of the permittivity can achieve an NIM metamaterial without having a negative permeability and a complex physical architecture. Novel lightweight, flexible DCP-NIMs can offer compact devices capable of dynamic beam steering, beam dispersion reduction, optical limiters.Theoretical quantum chemical and electromagnetic (EM) modeling studies predict that materials with enhanced chiral parameter and suppressed permittivity create NIM without having a negative permeability [Opt. Exp. 15, 5730 (2007)]. Self-assembled helical structures of chiral molecules enhance the chiral parameters, while incorporating plasmonic inclusions, such as metal nanoparticles and nanotubes, efficiently lower the permittivity. The ratio of radius and pitch, polarizable moieties, and delocalized pi-electrons of the helical molecules influence the chiral parameter. Recent studies report that aligned liquid crystal polymers (LCPs) containing nano-inclusions create a new type of metamaterial whose index of refraction is tunable from negative to positive [Opt. Lett. 31, 2592 (2006)]. The resonance frequency can be tuned in a wide spectral range by controlling the refractive index of the LCP and the nature of the nano-inclusions. Recently, we have demonstrated negative permittivity materials by doping a non-chiral polymer with phosphoric acid or carbon nanotubes to obtain altered resonance frequencies ranging from kHz to GHz respectively. The resonance frequency can be tuned as a function of the dopant and the concentration [J. Appl. Poly. Sci. Early View]. By introducing aligned helical polymers with proper dopants or plasmonic nano-inclusions, novel lightweight, flexible NIM can be created with tunable resonance frequencies without complex physical architecture and negative permeability. The resonance frequency and magnitude of the NIM can be tailored for specific applications by judiciously selecting the chiral matrix and nano-inclusions. The resonance frequency of DCP-NIM can be further tuned by the composition, size, aspect ratio, and orientation (alignment) of these chiral matrix and nano-inclusions to cover a wide range of the EM spectrum from UV/Vis to infrared ranges, extended to microwave.
More »",Space Technology Mission Directorate(STMD),,Center Innovation Fund: LaRC CIF,MichaelRLapointe,JulieAWilliams-byrd,JeffreyAHerath,CheolPark,,Jan2012,Jan2013,,,Langley Research Center(LaRC),,,
226,A 1.5k x 1.5k class photon counting HgCdTe linear avalanche photo-diode array for low background space astronomy in the 1 – 5 micron infrared.,"Under a current award, NASA NNX 13AC13G “EXTENDING THE ASTRONOMICAL APPLICATION OF PHOTON COUNTING HgCdTe LINEAR AVALANCHE PHOTO-DIODE ARRAYS TO LOW BACKGROUND SPACE OBSERVATIONS” UH has used Selex SAPHIRA 320 x 256 MOVPE L-APD HgCdTe arrays developed for Adaptive Optics (AO) wavefront (WF) sensing to investigate the potential of this technology for low background space astronomy applications. After suppressing readout integrated circuit (ROIC) glow, we have placed upper limits on gain normalized dark current of 0.01 e-/sec at up to 8 volts avalanche bias, corresponding to avalanche gain of 5, and have operated with avalanche gains of up to several hundred at higher bias. We have also demonstrated detection of individual photon events.  The proposed investigation would scale the format to 1536 x 1536 at 12um (the largest achievable in a standard reticule without requiring stitching) while incorporating reference pixels required at these low dark current levels. The primary objective is to develop, produce and characterize a 1.5k x 1.5k at 12um pitch MOVPE HgCdTe L-APD array, with nearly 30 times the pixel count of the 320 x 256 SAPHIRA, optimized for low background space astronomy. This will involve: 1) Selex design of a 1.5k x 1.5k at 12um pitch ROIC optimized for low background operation, silicon wafer fabrication at the German XFab foundry in 0.35 um 3V3 process and dicing/test at Selex, 2) provision by GL Scientific of a 3-side close-buttable carrier building from the heritage of the HAWAII xRG family, 3) Selex development and fabrication of 1.5k x 1.5k at 12 um pitch MOVPE HgCdTe L-APD detector arrays optimized for low background applications, 4) hybridization, packaging into a sensor chip assembly (SCA) with initial characterization by Selex and, 5) comprehensive characterization of low background performance, both in the laboratory and at ground based telescopes, by UH. The ultimate goal is to produce and eventually market a large format array, the L-APD equivalent of the Teledyne H1RG and H2RG, able to achieve sub-electron read noise and count 1 – 5 um photons with high quantum efficiency and low dark count rate while preserving their Poisson statistics and noise.
						More »",Science Mission Directorate(SMD),,Astrophysics Research and Analysis,MichaelAGarcia,DominicJBenford,,DonaldNHall,,Jan2017,Dec2019,,,,,BernardJRauscher,
227,High-Efficiency Modified Collins Cycle Cryocooler,"Existing space qualified cryocoolers are typically Stirling and pulse-tube type cryocoolers that achieve compactness and reliability by adopting mechanically simple cold head configurations, at the expense of thermodynamic efficiency. Large terrestrial cryogenic refrigerators achieve higher thermodynamic efficiencies but use mechanically complex designs that are not feasible at a small scale. The ideal space cryocooler would have the efficiency of a large terrestrial machines, but with the compactness and reliability of a pulse-tube or Stirling cryocooler. A cryocooler concept approaching this ideal has been investigated and achieves compactness and reliability by using microelectronics to enable complex valve timing in a mechanically simple and efficient design. It is based upon a modification of the Collins cycle. Key component technologies include floating piston expanders and electromagnetic Smart Valves have been demonstrated in a prototype low-temperature cryocooler stage. Cryocoolers are an enabling technology for space missions viewing in the infrared, gamma-ray and x-ray spectrums, providing the necessary environment for low temperature detectors and sensors, as well as for telescopes and instrument optics on infrared observatories. Detectors and sensors provide better imaging performance at lower temperature. The Mid Infrared Instrument (MIRI) of the recently launched James Webb Space Telescope includes a 7K cryocooler for detector cooling. The next generation of space telescopes include the LYNX (X-ray surveyor) and Origins Space Telescope (far IR surveyor) that are planned for launch in 2030. A 4K 4-stage pulse tube cryocooler from Lockheed Martin is the current baseline design for the LYNX mission, with expected electrical power is 10,000 W per Watt of cooling at 4K. The proposed Modified Collins Cycle is expected to reduce the power draw for 4K cooling to about 2,000 W per Watt of cooling
						More »",Space Technology Mission Directorate(STMD),"Triton Systems, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,BradyKrass,,Jul2022,Jan2023,RobertFBoyle,,,,,
228,"High-Speed, Low-Noise, Radiation-Tolerant CCD Image Sensors for Strategic High-Energy Astrophysics Missions","NASA's 2016 Physics of the Cosmos Program Annual Technology Report (PATR) identifies ‘fast, low-noise, megapixel X-ray imaging arrays’ as a top-priority technology development need for future strategic astrophysics missions.  The Lynx large mission concept now under study by NASA for presentation to the 2020 Decadal Survey in Astronomy and Astrophysics, in particular, includes a notional high-definition X-ray imaging instrument requiring a combination of readout rate, noise, spatial resolution and size that cannot be furnished by currently-mature technologies.    We have been developing a new generation of charge-coupled device (CCD) detectors with the aim of meeting this need. X-ray imaging CCDs have been flown successfully for more than twenty years, and state of the art devices provide low noise and near-theoretical spectral resolution, as well as spatial resolution and size approaching that required for Lynx.  However, Lynx requires detector readout rates more than two orders of magnitude faster than current technology, with no compromise in noise or spectral resolution. This performance must be achieved within the instrument power and mass constraints and maintained over the expected lifetime of a strategic mission.  We propose to advance the readiness of CCD technology to meet these requirements by capitalizing on developments at MIT Lincoln Laboratory for other applications which also require fast, large format, low-noise, low-power imagers. Building on high-speed prototype CCD X-ray detectors currently operating in our laboratory, we aim to fabricate and demonstrate devices with lower noise, better low-energy quantum efficiency, and improved radiation tolerance.
						More »",Science Mission Directorate(SMD),Massachusetts Institute of Technology(MIT),Strategic Astrophysics Technology,MarioRPerez,MarioRPerez,,MarshallWBautz,,Jan2018,Dec2019,,,,,EricDMiller,
229,"Low Size, Weight, and Power, High Gain 2D Material-Based Detectors for Mass Spectrometers","This project will assess the feasibility of using low power, high intrinsic amplification 2D material ion detectors for mass spectrometry to lower mass, power, and volume of mass spectrometers. Guardion’s proposed solution is to eliminate the need of high voltage electron multipliers utilizing patented 2D material-based ion detectors that provide intrinsic charge to current amplification values ranging between 1E6-1E9 A/C, and only require an operating bias of 0.1V. It further distinguishes between positive and negative ions, and works from atmospheric pressure through ultra high vacuum. Unlike conventional methods of detection used in mass spectrometry, our sensors will exploit a low-bias intrinsic quantum gain mechanism in nanomaterials to amplify the signal from trace amounts of ions. This eliminates the need for external amplification, eliminates high voltage requirements, and significantly reduces power consumption. We will first develop test devices in an ultra high vacuum compatible assembly. We will then modify an existing mass filter to direct ions towards our detector assembly and compare against a commercial off the shelf residual gas analyzer. We will then modify a standalone single quadrupole mass spec to accommodate our device assembly to test higher mass ranges. We will then evaluate sensor response to mass range, sampling rate, charge state, and ion energy. Finally, we will generate a report assessing the sensor performance, benefits, and limitations with suggestions on what types of mass spec and missions would be benefitted for sensor adoption.
						More »",Space Technology Mission Directorate(STMD),"Guardion, Inc.",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,DanielMEsposito,,Jul2022,Jan2023,TheresaMStanley,,,,,
